family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
ERICACEAE,"Gaylussacia pruinosa",Loes.,,,,
Orchidaceae,"Otostylis alba","(Ridl.) Summerh.",,,,
ERIOCAULACEAE,"Paepalanthus urbanianus ",Ruhland,done,comments,VU,D2
Orchidaceae,"Aganisia pulchella",Lindl.,,,,
ACANTHACEAE,"Aphelandra neesiana",Wassh.,review,,,
ACANTHACEAE,"Ruellia herbstii","(Hook.) Hiern",validation,,,
ACANTHACEAE,"Ruellia silvaccola","(Mart. ex Ness) Lindau",validation,,,
ACANTHACEAE,"Schaueria calycotricha","(Link & Otto) Nees",validation,,,
ACANTHACEAE,"Schaueria sulfurea",Nees,validation,,,
BORAGINACEAE,"Varronia leucomalla","(Taub.) Borhidi",validation,,,
BROMELIACEAE,"Vriesea atra",Mez,open,,,
BROMELIACEAE,"Vriesea atrococcinea",Rauh,done,review,DD,
BROMELIACEAE,"Vriesea grandiflora",Leme,review,open,,
CALOPHYLLACEAE,"Kielmeyera rizziniana",Saddi,validation,,,
CUCURBITACEAE,"Cayaponia latiloba","(Cogn.) Gomes-Klein",open,,,
CUCURBITACEAE,"Gurania cinerea",Suessenguth,validation,,,
CUCURBITACEAE,"Gurania ovata",Cogn.,validation,,,
DICHAPETALACEAE,"Stephanopodium estrellense",Baill.,open,,,
DILLENIACEAE,"Doliocarpus littoralis","(Kubitzki) Fraga & Stehmann",validation,,,
DIOSCOREACEAE,"Dioscorea campos-portoi",R.Knuth,validation,,,
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","G.M.Barroso et al.",validation,,,
EUPHORBIACEAE,"Acalypha macularis","Pax & K.Hoffm.",review,,,
MALVACEAE,"Abutilon macrocarpum","Guillem. & Perr.",open,,,
MALVACEAE,"Callianthe rufivela","(Hochr.) Donnel",open,,,
MALVACEAE,"Callianthe schenckii","(K. Shum.) Donnel",open,,,
MALVACEAE,"Sida schumanniana",Krapov.,open,,,
MALVACEAE,"Waltheria glazioviana",K.Schum.,open,,,
MALVACEAE,"Waltheria petiolata",K.Schum.,open,,,
MORACEAE,"Maclura brasiliensis","(Mart.) Endl.",open,,,
PHYLLANTHACEAE,"Phyllanthus augustinii",Baill.,validation,,,
SAPINDACEAE,"Paullinia marginata",Casar.,open,,,
URTICACEAE,"Pilea apiculata",Killip,validation,,,
Dichapetalaceae,"Stephanopodium organense","(Rizzini) Prance",,,,
ERIOCAULACEAE,"Paepalanthus stellatus "," Trovó",done,comments,VU,D2
Orchidaceae,"Aganisia cyanea f. cyanea","(Lindl.) Rchb.f.",open,open,,
Orchidaceae,"Cheiradenia cuspidata",Lindl.,,,,
ARISTOLOCHIACEAE,"Aristolochia cynanchifolia","Mart. & Zucc.",,,,
Orchidaceae,"Otostylis brachystalix (Rchb.f.) Schltr.","(Rchb.f.) Schltr.",,,,
ERICACEAE,"Gaylussacia angulata",Gardner,,,,
Orchidaceae,"Paradisanthus bahiensis",Rchb.f.,,,,
APIACEAE,"Lilaeopsis attenuata","(Hook. & Arn.) Fernald",open,,,
SAPOTACEAE,"Pradosia kuhlmannii",Toledo,,,,
ERIOCAULACEAE,"Paepalanthus macaheesis",Koern.,done,comments,EN,"B2ab(i,ii,iii,iv);C2a(i)"
COMMELINACEAE,"Dichorisandra begoniifolia",Kunth,open,,,
Orchidaceae,"Aganisia fimbriata",Rchb.f.,,,,
Boraginaceae,"Cordia latiloba",I.M.Johnst.,,,,
SAPOTACEAE,"Pouteria stenophylla",Baehni,,,,
CLUSIACEAE,"Tovomita glazioviana",Engl.,,,,
ERIOCAULACEAE,"Paepalanthus macer ",Trovó,done,comments,CR,"B2ab(i,ii,iii,iv,v)"
Boraginaceae,"Myriopus volubilis",Small,,,,
,,,done,review,CR,"B2ab(i,ii,iii,iv,v)"
,,,validation,,,
