family,scientificName,endemic,altitude
RUBIACEAE,"Bradea borrerioides",yes,144~620
BROMELIACEAE,"Encholirium fragae",yes,581
BROMELIACEAE,"Encholirium kranzianum",yes,720
BROMELIACEAE,"Encholirum splendidum",yes,
BROMELIACEAE,"Encholirium splendidum",yes,470
Asteraceae,"Eremanthus praetermissus",,
Asteraceae,"Eremanthus ovatifolius",,
Asteraceae,"Eremanthus ovatifolius",yes,900~1430
ERIOCAULACEAE,"Paepalanthus capixabensis",yes,
,,,
ERIOCAULACEAE,"Paepalanthus echinoides",yes,
ERIOCAULACEAE,"Paepalanthus argyrotrychus",yes,900~1334
ERIOCAULACEAE,"Paepalanthus farinaceus",yes,1248~1509
ERIOCAULACEAE,"Paepalanthus velutiphyllus",yes,896~1334
MAGNOLIACEAE,"Magnolia paraensis ",unkown,
MAGNOLIACEAE,"Magnolia paranaensis",yes,
DROSERACEAE,"Drosera magnifica",,
Lentibulariaceae,"Genlisea nebulicola",,
