family,scientificName,threat,incidence,timing,decline,details,references
BROMELIACEAE,"Encholirium fragae","3.2 Mining & quarrying",local,past;present;future,"habitat;locality;occurrence;mature individuals;occupancy","A maior ameaça para as espécies do gênero Encholirum que habitam afloramentos calcário está na extração mineral para produção de concreto, uma atividade freqüente nas regiões dos vales do Jequitinhonha e do São Francisco, pricipalmente nas regiões próximas a áreas urbanas e rodovias em desenvolvimentos (Forzza & Leme, 2015).",
BROMELIACEAE,"Encholirium kranzianum","2.3 Livestock farming & ranching",local,past;present;future,habitat,"A região de ocorrência da espécie, no estado de Minas Gerais, é fortemente influenciada (direta e indiretamente) pela atividade pecuarista (Sano, 2010). ","Sano, E.E.; Rosa; R.; Brito, J.L.S. & Ferreira, L.G. 2010. Mapeamento do uso do solo e cobertura vegetal - Bioma Cerrado: ano base 2002. Brasília, Distrito Federal. MMA/Série Biodiversidades, 36. 96 p."
BROMELIACEAE,"Encholirum splendidum","7 Natural system modifications",local,past;present;future,"habitat;occupancy;mature individuals","A espécie é ameaçadas pelo desmatamento da vegetação circundante, que leva à degradação do habitat devido ao aumento dos riscos de incêndio e a chegada de espécies invasoras (Leme & Forzza, 2015). ",
BROMELIACEAE,"Encholirum splendidum","3.2 Mining & quarrying",local,past;present;future,"locality;habitat;occupancy;occurrence;mature individuals","Uma de suas populações conhecidas é diretamente afetada pela mineração de calcário para a fabricação de cimento (Leme & Forzza, 2015).",
BROMELIACEAE,"Encholirum splendidum","8.1.1 Unspecified species",,,,"A invasão de espécies exóticas é uma das ameaças existentes na região (Leme & Forzza, 2015). ",
BROMELIACEAE,"Encholirium splendidum","7 Natural system modifications",local,past;present;future,habitat;occupancy;occurrence,"A espécie é ameaçadas pelo desmatamento da vegetação circundante, que leva à degradação do habitat devido ao aumento dos riscos de incêndio e a chegada de espécies invasoras (Leme & Forzza, 2015).","Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum","3.2 Mining & quarrying",local,past;present;future,"locality;habitat;occupancy;occurrence;mature individuals","Uma de suas populações conhecidas é diretamente afetada pela mineração de calcário para a fabricação de cimento (Leme & Forzza, 2015).","Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum","8.1.1 Unspecified species",local,past;present;future,occupancy;occurrence;habitat,"A invasão de espécies exóticas é uma das ameaças existentes na região (Leme & Forzza, 2015).","Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
Asteraceae,"Eremanthus praetermissus","5.3.1 Intentional use: subsistence/small scale (species being assessed is the target) [harvest]",local,past;present,,"Madeira da espécie é usado para construir cerca e pequenas pontes. (Loeuille, com. pess.).",
Asteraceae,"Eremanthus praetermissus","1.3 Tourism & recreation areas",local,past;present,,"Áreas de Restinga são desmatadas para construir pousadas e resort (Buzato, 2012)","Buzato, E., 2012. Avaliação de impactos ambientais no município de Ubatuba : uma proposta a partir dos geoindicadores. Universidade de São Paulo."
Asteraceae,"Eremanthus ovatifolius","5.1.1 Intentional use (species being assessed is the target)",local,past;present,,"A madeira da espécie é usado para construir cerca e pequenas pontes (Loeuille, com. pess.).",
ERIOCAULACEAE,"Paepalanthus capixabensis","1.1 Housing & urban areas",local,present,habitat;locality;occupancy;occurrence,"A espécie não ocorre em nenhuma Unidade de Conservação (Trovó et al., in prep.). Na área de ocorrência da espécie existe a expansão de fazendas e da mancha urbana. (Trovó, com. pes.)","Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis","2 Agriculture & aquaculture",local,present,habitat;occupancy;locality;occurrence,"Na área de ocorrência da espécie existem inúmeras fazendas em expansão (Trovó, in prep.). O município de Vargem Alta (ES) apresenta maior porcentagem de terras em área rural e uma das maiores áreas de monocultura de café (Pastro, 2012), de forma que a conversão dos ecossistemas representa uma ameaça a espécies (Pastro, in prep.).","Pastro, M.S. 2012. Estabelecimento de diretrizes para um programa de manejo de nascentes na bacia do Rio Itapemirim – ES. Monografia de Conclusão de Curso, UFRRJ, Seropéidica (RJ)"
ERIOCAULACEAE,"Paepalanthus echinoides","2 Agriculture & aquaculture",local,present,locality;habitat;occupancy;occurrence,"O entorno do Parque Nacional da Chapada dos Veadeiros vem sofrendo pressão antrópica e a consequente perda das populações naturais da espécie (Trovó et al. in prep.)","Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
