family,scientificName,pollination
POACEAE,"Axonopus aureus",anemophily
RUBIACEAE,"Borreria burchellii",entomophily
RUBIACEAE,"Borreria gracillima",entomophily
RUBIACEAE,"Borreria irwiniana",entomophily
RUBIACEAE,"Borreria rosmarinifolia",entomophily
RUBIACEAE,"Borreria tocantinsiana",entomophily
LYTHRACEAE,"Cuphea fuchsiifolia",ornitophily
ANNONACEAE,"Duguetia rotundifolia",entomophily
BIGNONIACEAE,"Jacaranda racemosa",melitophily
ACANTHACEAE,"Justicia clivalis",ornitophily
CALOPHYLLACEAE,"Kielmeyera anisosepala",melitophily
CALOPHYLLACEAE,"Kielmeyera similis",melitophily
BALANOPHORACEAE,"Lophophytum rizzoi",entomophily
TURNERACEAE,"Piriqueta araguaiana",entomophily
TURNERACEAE,"Piriqueta caiapoensis",entomophily
TURNERACEAE,"Piriqueta cristobaliae",entomophily
TURNERACEAE,"Piriqueta emasensis",entomophily
TURNERACEAE,"Piriqueta lourteigiae",entomophily
MYRTACEAE,"Psidium firmum",entomophily
LORANTHACEAE,"Psittacanthus acinarius",quiropterophily
VOCHYSIACEAE,"Vochysia pygmaea",melitophily
